alg,n,m,p_max,I,mean,std,min,max
FastGreedy,1,10,128,0,1.0,0,1.0,1.0
QThreshold,1,10,128,0,1.0,0,1.0,1.0
Random,1,10,128,0,17.285714285714285,0.0,17.285714285714285,17.285714285714285
RandomizedPmax,1,10,128,0,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,1,1.0,0,1.0,1.0
QThreshold,1,10,128,1,19.833333333333332,0,19.833333333333332,19.833333333333332
Random,1,10,128,1,18.666666666666668,0.0,18.666666666666668,18.666666666666668
RandomizedPmax,1,10,128,1,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,2,1.2857142857142858,0,1.2857142857142858,1.2857142857142858
QThreshold,1,10,128,2,5.857142857142857,0,5.857142857142857,5.857142857142857
Random,1,10,128,2,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,2,1.2857142857142858,0.0,1.2857142857142858,1.2857142857142858
FastGreedy,1,10,128,3,1.0,0,1.0,1.0
QThreshold,1,10,128,3,31.0,0,31.0,31.0
Random,1,10,128,3,31.0,0.0,31.0,31.0
RandomizedPmax,1,10,128,3,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,4,1.0,0,1.0,1.0
QThreshold,1,10,128,4,1.0,0,1.0,1.0
Random,1,10,128,4,4.333333333333333,0.0,4.333333333333333,4.333333333333333
RandomizedPmax,1,10,128,4,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,5,1.0,0,1.0,1.0
QThreshold,1,10,128,5,3.4,0,3.4,3.4
Random,1,10,128,5,3.4,0.0,3.4,3.4
RandomizedPmax,1,10,128,5,1.3,0.0,1.3,1.3
FastGreedy,1,10,128,6,1.0,0,1.0,1.0
QThreshold,1,10,128,6,32.0,0,32.0,32.0
Random,1,10,128,6,32.0,0.0,32.0,32.0
RandomizedPmax,1,10,128,6,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,7,1.1923076923076923,0,1.1923076923076923,1.1923076923076923
QThreshold,1,10,128,7,1.0,0,1.0,1.0
Random,1,10,128,7,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,7,1.1923076923076923,0.0,1.1923076923076923,1.1923076923076923
FastGreedy,1,10,128,8,1.0,0,1.0,1.0
QThreshold,1,10,128,8,23.0,0,23.0,23.0
Random,1,10,128,8,53.5,0.0,53.5,53.5
RandomizedPmax,1,10,128,8,2.2857142857142874,3.1493439550069438,1.0,10.0
FastGreedy,1,10,128,9,1.0,0,1.0,1.0
QThreshold,1,10,128,9,48.0,0,48.0,48.0
Random,1,10,128,9,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,9,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,10,4.222222222222222,0,4.222222222222222,4.222222222222222
QThreshold,1,10,128,10,5.0,0,5.0,5.0
Random,1,10,128,10,3.1666666666666665,0.0,3.1666666666666665,3.1666666666666665
RandomizedPmax,1,10,128,10,2.655701754385966,1.587903313043561,1.0,4.222222222222222
FastGreedy,1,10,128,11,3.3333333333333335,0,3.3333333333333335,3.3333333333333335
QThreshold,1,10,128,11,19.666666666666668,0,19.666666666666668,19.666666666666668
Random,1,10,128,11,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,11,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335
FastGreedy,1,10,128,12,1.0,0,1.0,1.0
QThreshold,1,10,128,12,22.2,0,22.2,22.2
Random,1,10,128,12,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,12,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,13,7.923076923076923,0,7.923076923076923,7.923076923076923
