n,m,p_max,I,mean,std,min,max
1,10,128,0,1.0,0,1.0,1.0
1,10,128,1,1.0,0,1.0,1.0
1,10,128,2,1.0,0,1.0,1.0
1,10,128,3,1.7142857142857142,0,1.7142857142857142,1.7142857142857142
1,10,128,4,1.0,0,1.0,1.0
1,10,128,5,1.5277777777777777,0,1.5277777777777777,1.5277777777777777
1,10,128,6,7.4,0,7.4,7.4
1,10,128,7,6.733333333333333,0,6.733333333333333,6.733333333333333
1,10,128,8,1.0,0,1.0,1.0
1,10,128,9,1.6666666666666667,0,1.6666666666666667,1.6666666666666667
1,10,128,10,1.7333333333333334,0,1.7333333333333334,1.7333333333333334
1,10,128,11,1.0,0,1.0,1.0
1,10,128,12,6.315789473684211,0,6.315789473684211,6.315789473684211
1,10,128,13,2.0,0,2.0,2.0
1,10,128,14,2.230769230769231,0,2.230769230769231,2.230769230769231
1,10,128,15,8.0,0,8.0,8.0
1,10,128,16,1.0,0,1.0,1.0
1,10,128,17,1.0,0,1.0,1.0
1,10,128,18,1.0,0,1.0,1.0
1,10,128,19,4.333333333333333,0,4.333333333333333,4.333333333333333
1,10,128,20,1.0,0,1.0,1.0
1,10,128,21,1.0,0,1.0,1.0
1,10,128,22,1.06,0,1.06,1.06
1,10,128,23,2.0588235294117645,0,2.0588235294117645,2.0588235294117645
1,10,128,24,2.5,0,2.5,2.5
1,10,128,25,1.0,0,1.0,1.0
1,10,128,26,6.5,0,6.5,6.5
1,10,128,27,1.5714285714285714,0,1.5714285714285714,1.5714285714285714
1,10,128,28,5.2631578947368425,0,5.2631578947368425,5.2631578947368425
1,10,128,29,4.04,0,4.04,4.04
1,10,128,30,1.0,0,1.0,1.0
1,10,128,31,1.0,0,1.0,1.0
1,10,128,32,1.3333333333333333,0,1.3333333333333333,1.3333333333333333
1,10,128,33,1.0,0,1.0,1.0
1,10,128,34,1.0,0,1.0,1.0
1,10,128,35,8.5,0,8.5,8.5
1,10,128,36,4.0,0,4.0,4.0
1,10,128,37,1.6590909090909092,0,1.6590909090909092,1.6590909090909092
1,10,128,38,1.0,0,1.0,1.0
1,10,128,39,1.0,0,1.0,1.0
1,10,128,40,1.0,0,1.0,1.0
1,10,128,41,1.0,0,1.0,1.0
