n,m,p_max,I,mean,std,min,max
10,10,128,0,3.6363636363636362,0,3.6363636363636362,3.6363636363636362
10,10,128,1,6.52,0,6.52,6.52
10,10,128,2,5.457142857142857,0,5.457142857142857,5.457142857142857
10,10,128,3,1.0,0,1.0,1.0
10,10,128,4,3.169230769230769,0,3.169230769230769,3.169230769230769
10,10,128,5,5.088888888888889,0,5.088888888888889,5.088888888888889
10,10,128,6,1.0,0,1.0,1.0
10,10,128,7,1.525,0,1.525,1.525
10,10,128,8,4.288888888888889,0,4.288888888888889,4.288888888888889
10,10,128,9,5.0,0,5.0,5.0
10,10,128,10,1.3555555555555556,0,1.3555555555555556,1.3555555555555556
10,10,128,11,1.0,0,1.0,1.0
10,10,128,12,1.0,0,1.0,1.0
10,10,128,13,4.75,0,4.75,4.75
10,10,128,14,2.6363636363636362,0,2.6363636363636362,2.6363636363636362
10,10,128,15,2.5833333333333335,0,2.5833333333333335,2.5833333333333335
10,10,128,16,5.30625,0,5.30625,5.30625
10,10,128,17,3.3,0,3.3,3.3
10,10,128,18,4.5,0,4.5,4.5
10,10,128,19,1.8974358974358974,0,1.8974358974358974,1.8974358974358974
10,10,128,20,4.041666666666667,0,4.041666666666667,4.041666666666667
10,10,128,21,3.1,0,3.1,3.1
10,10,128,22,2.06,0,2.06,2.06
10,10,128,23,3.3714285714285714,0,3.3714285714285714,3.3714285714285714
10,10,128,24,3.7,0,3.7,3.7
10,10,128,25,1.0,0,1.0,1.0
10,10,128,26,2.8444444444444446,0,2.8444444444444446,2.8444444444444446
10,10,128,27,1.38,0,1.38,1.38
10,10,128,28,4.988235294117647,0,4.988235294117647,4.988235294117647
10,10,128,29,1.8666666666666667,0,1.8666666666666667,1.8666666666666667
10,10,128,30,1.7838709677419355,0,1.7838709677419355,1.7838709677419355
10,10,128,31,2.25,0,2.25,2.25
10,10,128,32,4.3428571428571425,0,4.3428571428571425,4.3428571428571425
10,10,128,33,1.0,0,1.0,1.0
10,10,128,34,1.0,0,1.0,1.0
10,10,128,35,4.923076923076923,0,4.923076923076923,4.923076923076923
10,10,128,36,1.1142857142857143,0,1.1142857142857143,1.1142857142857143
10,10,128,37,1.775,0,1.775,1.775
10,10,128,38,7.536363636363636,0,7.536363636363636,7.536363636363636
10,10,128,39,4.9,0,4.9,4.9
10,10,128,40,3.5,0,3.5,3.5
10,10,128,41,2.6363636363636362,0,2.6363636363636362,2.6363636363636362
10,10,128,42,1.1886792452830188,0,1.1886792452830188,1.1886792452830188
10,10,128,43,4.233333333333333,0,4.233333333333333,4.233333333333333
10,10,128,44,1.3714285714285714,0,1.3714285714285714,1.3714285714285714
10,10,128,45,1.8125,0,1.8125,1.8125
10,10,128,46,5.444444444444445,0,5.444444444444445,5.444444444444445
10,10,128,47,1.4,0,1.4,1.4
10,10,128,48,1.1789473684210525,0,1.1789473684210525,1.1789473684210525
10,10,128,49,1.0,0,1.0,1.0
10,10,128,50,1.0,0,1.0,1.0
10,10,128,51,3.8857142857142857,0,3.8857142857142857,3.8857142857142857
10,10,128,52,5.1571428571428575,0,5.1571428571428575,5.1571428571428575
10,10,128,53,4.4222222222222225,0,4.4222222222222225,4.4222222222222225
10,10,128,54,4.8,0,4.8,4.8
10,10,128,55,1.0,0,1.0,1.0
10,10,128,56,3.8038461538461537,0,3.8038461538461537,3.8038461538461537
10,10,128,57,1.72,0,1.72,1.72
10,10,128,58,1.58,0,1.58,1.58
10,10,128,59,2.175,0,2.175,2.175
10,10,128,60,1.0,0,1.0,1.0
10,10,128,61,3.85,0,3.85,3.85
10,10,128,62,1.0,0,1.0,1.0
10,10,128,63,2.6,0,2.6,2.6
10,10,128,64,1.0,0,1.0,1.0
10,10,128,65,1.6588235294117648,0,1.6588235294117648,1.6588235294117648
10,10,128,66,1.0,0,1.0,1.0
10,10,128,67,3.55,0,3.55,3.55
10,10,128,68,1.0,0,1.0,1.0
10,10,128,69,2.8,0,2.8,2.8
10,10,128,70,2.35,0,2.35,2.35
