n,m,p_max,I,mean,std,min,max
10,10,128,0,6.0,0,6.0,6.0
10,10,128,1,4.0,0,4.0,4.0
10,10,128,2,3.3333333333333335,0,3.3333333333333335,3.3333333333333335
10,10,128,3,7.25,0,7.25,7.25
10,10,128,4,1.0,0,1.0,1.0
10,10,128,5,1.0,0,1.0,1.0
10,10,128,6,9.071428571428571,0,9.071428571428571,9.071428571428571
10,10,128,7,1.0,0,1.0,1.0
10,10,128,8,4.130434782608695,0,4.130434782608695,4.130434782608695
10,10,128,9,3.3214285714285716,0,3.3214285714285716,3.3214285714285716
10,10,128,10,1.0,0,1.0,1.0
10,10,128,11,4.333333333333333,0,4.333333333333333,4.333333333333333
10,10,128,12,1.0,0,1.0,1.0
10,10,128,13,1.0,0,1.0,1.0
10,10,128,14,7.375,0,7.375,7.375
10,10,128,15,1.0,0,1.0,1.0
10,10,128,16,1.0,0,1.0,1.0
10,10,128,17,1.2142857142857142,0,1.2142857142857142,1.2142857142857142
10,10,128,18,3.4347826086956523,0,3.4347826086956523,3.4347826086956523
10,10,128,19,4.3076923076923075,0,4.3076923076923075,4.3076923076923075
10,10,128,20,1.0,0,1.0,1.0
10,10,128,21,1.2,0,1.2,1.2
10,10,128,22,4.037037037037037,0,4.037037037037037,4.037037037037037
10,10,128,23,5.388888888888889,0,5.388888888888889,5.388888888888889
10,10,128,24,2.0,0,2.0,2.0
10,10,128,25,1.0,0,1.0,1.0
10,10,128,26,1.0,0,1.0,1.0
10,10,128,27,1.0,0,1.0,1.0
10,10,128,28,1.5,0,1.5,1.5
10,10,128,29,1.1081081081081081,0,1.1081081081081081,1.1081081081081081
10,10,128,30,1.0,0,1.0,1.0
10,10,128,31,8.583333333333334,0,8.583333333333334,8.583333333333334
10,10,128,32,1.0,0,1.0,1.0
10,10,128,33,3.642857142857143,0,3.642857142857143,3.642857142857143
10,10,128,34,1.0,0,1.0,1.0
10,10,128,35,1.0,0,1.0,1.0
10,10,128,36,1.0,0,1.0,1.0
10,10,128,37,1.0,0,1.0,1.0
10,10,128,38,1.0,0,1.0,1.0
10,10,128,39,5.111111111111111,0,5.111111111111111,5.111111111111111
10,10,128,40,2.3225806451612905,0,2.3225806451612905,2.3225806451612905
10,10,128,41,1.0,0,1.0,1.0
10,10,128,42,1.2,0,1.2,1.2
10,10,128,43,3.066666666666667,0,3.066666666666667,3.066666666666667
10,10,128,44,8.466666666666667,0,8.466666666666667,8.466666666666667
10,10,128,45,1.25,0,1.25,1.25
10,10,128,46,1.3636363636363635,0,1.3636363636363635,1.3636363636363635
10,10,128,47,10.166666666666666,0,10.166666666666666,10.166666666666666
10,10,128,48,1.5142857142857142,0,1.5142857142857142,1.5142857142857142
10,10,128,49,1.0,0,1.0,1.0
10,10,128,50,5.333333333333333,0,5.333333333333333,5.333333333333333
10,10,128,51,1.75,0,1.75,1.75
10,10,128,52,2.3636363636363638,0,2.3636363636363638,2.3636363636363638
10,10,128,53,5.777777777777778,0,5.777777777777778,5.777777777777778
10,10,128,54,2.6470588235294117,0,2.6470588235294117,2.6470588235294117
10,10,128,55,1.0,0,1.0,1.0
10,10,128,56,1.0,0,1.0,1.0
10,10,128,57,1.0,0,1.0,1.0
10,10,128,58,2.2142857142857144,0,2.2142857142857144,2.2142857142857144
10,10,128,59,1.0,0,1.0,1.0
10,10,128,60,1.0,0,1.0,1.0
10,10,128,61,1.2,0,1.2,1.2
10,10,128,62,1.0,0,1.0,1.0
10,10,128,63,5.2631578947368425,0,5.2631578947368425,5.2631578947368425
10,10,128,64,3.3529411764705883,0,3.3529411764705883,3.3529411764705883
10,10,128,65,1.0,0,1.0,1.0
10,10,128,66,1.0,0,1.0,1.0
10,10,128,67,1.6,0,1.6,1.6
10,10,128,68,1.0,0,1.0,1.0
10,10,128,69,1.0,0,1.0,1.0
10,10,128,70,2.0,0,2.0,2.0
10,10,128,71,4.0,0,4.0,4.0
10,10,128,72,1.0,0,1.0,1.0
10,10,128,73,1.0,0,1.0,1.0
10,10,128,74,3.9642857142857144,0,3.9642857142857144,3.9642857142857144
10,10,128,75,1.0,0,1.0,1.0
10,10,128,76,1.8275862068965518,0,1.8275862068965518,1.8275862068965518
10,10,128,77,1.0,0,1.0,1.0
10,10,128,78,1.0,0,1.0,1.0
10,10,128,79,1.0,0,1.0,1.0
10,10,128,80,1.0,0,1.0,1.0
10,10,128,81,3.25,0,3.25,3.25
10,10,128,82,1.0,0,1.0,1.0
10,10,128,83,1.2222222222222223,0,1.2222222222222223,1.2222222222222223
10,10,128,84,1.0,0,1.0,1.0
10,10,128,85,3.6666666666666665,0,3.6666666666666665,3.6666666666666665
10,10,128,86,1.0,0,1.0,1.0
10,10,128,87,1.0,0,1.0,1.0
10,10,128,88,3.3157894736842106,0,3.3157894736842106,3.3157894736842106
10,10,128,89,3.8823529411764706,0,3.8823529411764706,3.8823529411764706
10,10,128,90,3.3157894736842106,0,3.3157894736842106,3.3157894736842106
10,10,128,91,3.1,0,3.1,3.1
10,10,128,92,3.15,0,3.15,3.15
10,10,128,93,1.5,0,1.5,1.5
10,10,128,94,1.0,0,1.0,1.0
10,10,128,95,1.0,0,1.0,1.0
10,10,128,96,2.0,0,2.0,2.0
10,10,128,97,3.769230769230769,0,3.769230769230769,3.769230769230769
10,10,128,98,9.25,0,9.25,9.25
10,10,128,99,1.0,0,1.0,1.0
10,10,128,100,6.0,0,6.0,6.0
10,10,128,101,7.857142857142857,0,7.857142857142857,7.857142857142857
10,10,128,102,1.0,0,1.0,1.0
10,10,128,103,8.357142857142858,0,8.357142857142858,8.357142857142858
10,10,128,104,1.0,0,1.0,1.0
10,10,128,105,2.176470588235294,0,2.176470588235294,2.176470588235294
10,10,128,106,1.0,0,1.0,1.0
10,10,128,107,1.2142857142857142,0,1.2142857142857142,1.2142857142857142
10,10,128,108,1.0,0,1.0,1.0
10,10,128,109,1.0,0,1.0,1.0
10,10,128,110,1.0,0,1.0,1.0
10,10,128,111,3.357142857142857,0,3.357142857142857,3.357142857142857
10,10,128,112,2.3714285714285714,0,2.3714285714285714,2.3714285714285714
10,10,128,113,1.0,0,1.0,1.0
10,10,128,114,1.4545454545454546,0,1.4545454545454546,1.4545454545454546
10,10,128,115,1.0,0,1.0,1.0
10,10,128,116,1.0,0,1.0,1.0
10,10,128,117,1.7142857142857142,0,1.7142857142857142,1.7142857142857142
10,10,128,118,2.909090909090909,0,2.909090909090909,2.909090909090909
10,10,128,119,1.0,0,1.0,1.0
10,10,128,120,1.0,0,1.0,1.0
10,10,128,121,1.0,0,1.0,1.0
10,10,128,122,1.0,0,1.0,1.0
10,10,128,123,2.088235294117647,0,2.088235294117647,2.088235294117647
10,10,128,124,1.0,0,1.0,1.0
10,10,128,125,10.25,0,10.25,10.25
10,10,128,126,4.0625,0,4.0625,4.0625
10,10,128,127,1.0,0,1.0,1.0
10,10,128,128,3.5185185185185186,0,3.5185185185185186,3.5185185185185186
10,10,128,129,1.0,0,1.0,1.0
10,10,128,130,9.384615384615385,0,9.384615384615385,9.384615384615385
10,10,128,131,1.0,0,1.0,1.0
