n,m,p_max,I,mean,std,min,max
10,10,128,0,2.327272727272727,0.0,2.327272727272727,2.327272727272727
10,10,128,1,13.9,0.0,13.9,13.9
10,10,128,2,5.064285714285714,0.0,5.064285714285714,5.064285714285714
10,10,128,3,41.65,0.0,41.65,41.65
10,10,128,4,5.769230769230769,0.0,5.769230769230769,5.769230769230769
10,10,128,5,6.511111111111111,0.0,6.511111111111111,6.511111111111111
10,10,128,6,9.175,0.0,9.175,9.175
10,10,128,7,5.5,0.0,5.5,5.5
10,10,128,8,9.733333333333333,0.0,9.733333333333333,9.733333333333333
10,10,128,9,12.516666666666667,0.0,12.516666666666667,12.516666666666667
10,10,128,10,7.7444444444444445,0.0,7.7444444444444445,7.7444444444444445
10,10,128,11,17.25,0.0,17.25,17.25
10,10,128,12,22.0,0.0,22.0,22.0
10,10,128,13,10.7,0.0,10.7,10.7
10,10,128,14,3.327272727272727,0.0,3.327272727272727,3.327272727272727
10,10,128,15,5.258333333333334,0.0,5.258333333333334,5.258333333333334
10,10,128,16,3.93125,0.0,3.93125,3.93125
10,10,128,17,61.7,0.0,61.7,61.7
10,10,128,18,9.3125,0.0,9.3125,9.3125
10,10,128,19,1.7743589743589743,0.0,1.7743589743589743,1.7743589743589743
10,10,128,20,5.275,0.0,5.275,5.275
10,10,128,21,19.8,0.0,19.8,19.8
10,10,128,22,13.7,0.0,13.7,13.7
10,10,128,23,7.785714285714286,0.0,7.785714285714286,7.785714285714286
10,10,128,24,7.25,0.0,7.25,7.25
10,10,128,25,59.2,0.0,59.2,59.2
10,10,128,26,2.088888888888889,0.0,2.088888888888889,2.088888888888889
10,10,128,27,17.46,0.0,17.46,17.46
10,10,128,28,3.0058823529411764,0.0,3.0058823529411764,3.0058823529411764
10,10,128,29,27.433333333333334,0.0,27.433333333333334,27.433333333333334
10,10,128,30,2.4516129032258065,0.0,2.4516129032258065,2.4516129032258065
10,10,128,31,14.625,0.0,14.625,14.625
10,10,128,32,11.371428571428572,0.0,11.371428571428572,11.371428571428572
10,10,128,33,17.125,0.0,17.125,17.125
10,10,128,34,85.2,0.0,85.2,85.2
10,10,128,35,6.492307692307692,0.0,6.492307692307692,6.492307692307692
