n,m,p_max,I,mean,std,min,max
10,10,128,0,6.0,0.0,6.0,6.0
10,10,128,1,4.0,0.0,4.0,4.0
10,10,128,2,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335
10,10,128,3,2.25,0.6987712429686843,1.0,3.5
10,10,128,4,1.07755454545454,0.07946725454836435,1.0,1.4545454545454546
10,10,128,5,2.301743333333322,0.24844173184515922,1.35,2.8333333333333335
10,10,128,6,3.583099285714279,1.1978336966525143,1.0,8.264285714285714
10,10,128,7,1.0,0.0,1.0,1.0
10,10,128,8,4.130434782608695,0.0,4.130434782608695,4.130434782608695
10,10,128,9,3.3214285714285716,0.0,3.3214285714285716,3.3214285714285716
10,10,128,10,1.0,0.0,1.0,1.0
10,10,128,11,2.9999999999999996,0.48913302817446247,1.6888888888888889,4.0
10,10,128,12,1.5493000000000015,0.7219207089424711,1.0,6.0
10,10,128,13,1.0,0.0,1.0,1.0
10,10,128,14,3.55,0.8230089610690762,2.275,4.825
10,10,128,15,1.0,0.0,1.0,1.0
10,10,128,16,1.0,0.0,1.0,1.0
10,10,128,17,1.2142857142857142,0.0,1.2142857142857142,1.2142857142857142
10,10,128,18,3.4347826086956523,0.0,3.4347826086956523,3.4347826086956523
10,10,128,19,1.6615384615384616,0.5229920745663088,1.0,2.6538461538461537
10,10,128,20,1.0,0.0,1.0,1.0
10,10,128,21,1.2,0.0,1.2,1.2
10,10,128,22,4.037037037037037,0.0,4.037037037037037,4.037037037037037
10,10,128,23,4.072222222222222,0.31034130952076255,3.6333333333333333,4.511111111111111
10,10,128,24,2.0,0.0,2.0,2.0
10,10,128,25,1.0,0.0,1.0,1.0
10,10,128,26,1.0,0.0,1.0,1.0
10,10,128,27,2.1525800000000004,0.3517716071544152,1.0,3.2
10,10,128,28,1.5,0.0,1.5,1.5
10,10,128,29,1.1081081081081081,0.0,1.1081081081081081,1.1081081081081081
10,10,128,30,1.3367644444444418,0.06023558949637091,1.0888888888888888,1.4444444444444444
10,10,128,31,1.886839999999999,0.7582740969244994,1.0,5.55
10,10,128,32,1.0,0.0,1.0,1.0
10,10,128,33,2.3214285714285716,0.0,2.3214285714285716,2.3214285714285716
10,10,128,34,2.3,0.0,2.3,2.3
10,10,128,35,1.33,0.2106339637063944,1.0,1.55
10,10,128,36,1.0,0.0,1.0,1.0
10,10,128,37,1.0,0.0,1.0,1.0
10,10,128,38,1.0272727272727273,0.0,1.0272727272727273,1.0272727272727273
10,10,128,39,3.600031111111101,0.6295190004055518,1.0,5.111111111111111
10,10,128,40,2.3225806451612905,0.0,2.3225806451612905,2.3225806451612905
10,10,128,41,1.0,0.0,1.0,1.0
10,10,128,42,1.2,0.0,1.2,1.2
10,10,128,43,1.8266666666666667,0.16874262672506338,1.62,2.033333333333333
10,10,128,44,3.3983113333333397,1.0671014226317346,1.0,7.753333333333333
10,10,128,45,2.750000000000001,0.38222212128551636,1.75,3.5
10,10,128,46,1.3437199999999947,0.026033029497032994,1.1818181818181819,1.3636363636363635
10,10,128,47,2.513233333333329,1.081612038168543,1.0,8.333333333333334
10,10,128,48,1.5142857142857142,0.0,1.5142857142857142,1.5142857142857142
10,10,128,49,1.0,0.0,1.0,1.0
10,10,128,50,4.756870000000004,0.4629983474772533,2.7333333333333334,5.333333333333333
10,10,128,51,1.75,0.0,1.75,1.75
10,10,128,52,2.3636363636363638,0.0,2.3636363636363638,2.3636363636363638
10,10,128,53,4.025336666666652,0.732794863915871,1.4777777777777779,5.777777777777778
10,10,128,54,1.9126682352941164,0.2555385389335174,1.0,2.6470588235294117
10,10,128,55,1.0,0.0,1.0,1.0
10,10,128,56,2.1333333333333333,0.0,2.1333333333333333,2.1333333333333333
10,10,128,57,1.0,0.0,1.0,1.0
10,10,128,58,1.1214285714285714,0.0,1.1214285714285714,1.1214285714285714
10,10,128,59,1.0,0.0,1.0,1.0
10,10,128,60,3.5283666666666633,0.4482010945001257,1.6666666666666667,4.333333333333333
10,10,128,61,1.2,0.0,1.2,1.2
10,10,128,62,1.2293118181818172,0.07027760156563537,1.0272727272727273,1.6090909090909091
10,10,128,63,3.9842105263157896,0.0,3.9842105263157896,3.9842105263157896
10,10,128,64,2.3091529411764697,0.3690681646701736,1.0,3.3529411764705883
10,10,128,65,1.0,0.0,1.0,1.0
10,10,128,66,1.5,0.3535533905932738,1.0,2.0
10,10,128,67,1.6,0.0,1.6,1.6
10,10,128,68,1.3900557142857104,0.23981172240330756,1.0,2.3
10,10,128,69,1.0,0.0,1.0,1.0
10,10,128,70,2.0,0.0,2.0,2.0
10,10,128,71,4.0,0.0,4.0,4.0
10,10,128,72,1.0,0.0,1.0,1.0
10,10,128,73,1.0,0.0,1.0,1.0
10,10,128,74,3.9642857142857144,0.0,3.9642857142857144,3.9642857142857144
10,10,128,75,1.4125,0.21353553912777193,1.0,1.9625
10,10,128,76,1.8275862068965518,0.0,1.8275862068965518,1.8275862068965518
10,10,128,77,1.0,0.0,1.0,1.0
10,10,128,78,1.0,0.0,1.0,1.0
10,10,128,79,2.5999999999999996,0.6611150964330699,1.0,4.2
10,10,128,80,1.0,0.0,1.0,1.0
10,10,128,81,1.3567266666666704,0.2585695463292011,1.0,2.575
10,10,128,82,1.0,0.0,1.0,1.0
10,10,128,83,1.2222222222222223,0.0,1.2222222222222223,1.2222222222222223
10,10,128,84,1.0,0.0,1.0,1.0
10,10,128,85,3.6666666666666665,0.0,3.6666666666666665,3.6666666666666665
10,10,128,86,1.0,0.0,1.0,1.0
10,10,128,87,1.0,0.0,1.0,1.0
10,10,128,88,2.6512505263157884,0.33161877564640174,1.231578947368421,3.3157894736842106
10,10,128,89,2.7294117647058824,0.4402866844173258,2.152941176470588,3.3058823529411763
10,10,128,90,2.3101778947368397,0.3601501771079859,1.0157894736842106,3.3157894736842106
10,10,128,91,3.1,0.0,3.1,3.1
10,10,128,92,2.694973999999994,0.277629112889841,1.43,3.15
10,10,128,93,1.5,0.0,1.5,1.5
10,10,128,94,1.2279445454545412,0.247819889074023,1.0,3.1363636363636362
10,10,128,95,1.95,0.0,1.95,1.95
10,10,128,96,2.0,0.0,2.0,2.0
10,10,128,97,1.669766153846159,0.3752051238468724,1.0,3.2153846153846155
10,10,128,98,1.7420025000000052,0.7310722184605704,1.0,5.166666666666667
10,10,128,99,1.2305472727272766,0.05813738072889529,1.0,1.4727272727272727
10,10,128,100,5.0,0.3535533905932738,4.5,5.5
10,10,128,101,1.6857142857142866,0.7109637035426649,1.0,3.742857142857143
10,10,128,102,1.0,0.0,1.0,1.0
10,10,128,103,3.251080714285714,1.0794639355620355,1.0,7.678571428571429
10,10,128,104,1.0,0.0,1.0,1.0
10,10,128,105,1.43455411764706,0.17050681366815376,1.0176470588235293,2.0647058823529414
10,10,128,106,1.0,0.0,1.0,1.0
10,10,128,107,1.1334207142857131,0.033103420803257635,1.0,1.2142857142857142
10,10,128,108,1.0,0.0,1.0,1.0
10,10,128,109,1.0,0.0,1.0,1.0
10,10,128,110,1.0,0.0,1.0,1.0
10,10,128,111,1.707142857142857,0.2484646732989441,1.2357142857142858,1.9428571428571428
10,10,128,112,2.3714285714285714,0.0,2.3714285714285714,2.3714285714285714
